#options: cpuid=1111039 frame-threads=4 numa-pools=16 wpp no-pmode no-pme no-psnr no-ssim log-level=2 bitdepth=8 input-csp=3 fps=30/1 input-res=1280x720 interlace=0 total-frames=0 level-idc=0 high-tier=1 uhd-bd=0 ref=3 no-allow-non-conformance repeat-headers annexb no-aud no-eob no-eos no-hrd info hash=0 temporal-layers=0 open-gop min-keyint=25 keyint=250 gop-lookahead=0 bframes=4 b-adapt=0 b-pyramid bframe-bias=0 rc-lookahead=15 lookahead-slices=4 scenecut=40 no-hist-scenecut radl=0 no-splice no-intra-refresh ctu=64 min-cu-size=8 no-rect no-amp max-tu-size=32 tu-inter-depth=1 tu-intra-depth=1 limit-tu=0 rdoq-level=0 dynamic-rd=0.00 no-ssim-rd signhide no-tskip nr-intra=0 nr-inter=0 no-constrained-intra strong-intra-smoothing max-merge=2 limit-refs=3 no-limit-modes me=1 subme=2 merange=57 temporal-mvp no-frame-dup no-hme weightp no-weightb no-analyze-src-pics deblock=0:0 sao no-sao-non-deblock rd=2 selective-sao=4 no-early-skip rskip fast-intra no-tskip-fast no-cu-lossless no-b-intra no-splitrd-skip rdpenalty=0 psy-rd=2.00 psy-rdoq=0.00 no-rd-refine no-lossless cbqpoffs=6 crqpoffs=6 rc=abr bitrate=1500 qcomp=0.60 qpstep=4 stats-write=1 stats-read=0 slow-firstpass ipratio=1.40 pbratio=1.30 aq-mode=2 aq-strength=1.00 cutree zone-count=0 no-strict-cbr qg-size=32 no-rc-grain qpmax=69 qpmin=0 no-const-vbv sar=1 overscan=0 videoformat=5 range=0 colorprim=2 transfer=2 colormatrix=2 chromaloc=0 display-window=0 cll=0,0 min-luma=0 max-luma=255 log2-max-poc-lsb=8 vui-timing-info vui-hrd-info slices=1 no-opt-qp-pps no-opt-ref-list-length-pps no-multi-pass-opt-rps scenecut-bias=0.05 no-opt-cu-delta-qp no-aq-motion no-hdr10 no-hdr10-opt no-dhdr10-opt no-idr-recovery-sei analysis-reuse-level=0 analysis-save-reuse-level=0 analysis-load-reuse-level=0 scale-factor=0 refine-intra=0 refine-inter=0 refine-mv=1 refine-ctu-distortion=0 no-limit-sao ctu-info=0 no-lowpass-dct refine-analysis-type=0 copy-pic=1 max-ausize-factor=1.0 no-dynamic-refine no-single-sei no-hevc-aq no-svt no-field qp-adaptation-range=1.00 scenecut-aware-qp=0conformance-window-offsets right=0 bottom=0 decoder-max-rate=0 no-vbv-live-multi-pass no-mcstf no-sbrc no-frame-rc
in:0 out:0 type:I q:32.46 q-aq:25.45 q-noVbv:32.46 q-Rceq:1.08 tex:40768 mv:9052 misc:1966 icu:3600.00 pcu:0.00 scu:0.00 sc:0 ;
in:5 out:1 type:P q:38.50 q-aq:37.00 q-noVbv:38.50 q-Rceq:1.08 tex:1148 mv:1143 misc:1155 icu:173.75 pcu:158.75 scu:3267.50 sc:0 ;
in:3 out:2 type:B q:39.63 q-aq:39.65 q-noVbv:39.63 q-Rceq:1.08 tex:33 mv:408 misc:557 icu:0.00 pcu:248.00 scu:3352.00 sc:0 ;
in:1 out:3 type:b q:40.77 q-aq:40.69 q-noVbv:40.77 q-Rceq:1.08 tex:47 mv:315 misc:480 icu:0.00 pcu:265.00 scu:3335.00 sc:0 ;
in:2 out:4 type:b q:40.77 q-aq:40.73 q-noVbv:40.77 q-Rceq:1.08 tex:15 mv:325 misc:482 icu:0.00 pcu:290.00 scu:3310.00 sc:0 ;
in:4 out:5 type:b q:40.77 q-aq:40.80 q-noVbv:40.77 q-Rceq:1.08 tex:6 mv:389 misc:539 icu:0.00 pcu:310.00 scu:3290.00 sc:0 ;
in:10 out:6 type:P q:34.50 q-aq:31.63 q-noVbv:34.50 q-Rceq:1.08 tex:4097 mv:1868 misc:1389 icu:240.50 pcu:356.75 scu:3002.75 sc:0 ;
in:8 out:7 type:B q:37.23 q-aq:36.84 q-noVbv:37.23 q-Rceq:1.08 tex:7 mv:736 misc:768 icu:0.00 pcu:379.50 scu:3220.50 sc:0 ;
in:6 out:8 type:b q:39.97 q-aq:39.80 q-noVbv:39.97 q-Rceq:1.08 tex:8 mv:534 misc:636 icu:0.00 pcu:272.50 scu:3327.50 sc:0 ;
in:7 out:9 type:b q:39.17 q-aq:38.77 q-noVbv:39.17 q-Rceq:1.08 tex:43 mv:639 misc:691 icu:0.00 pcu:372.50 scu:3227.50 sc:0 ;
in:9 out:10 type:b q:37.57 q-aq:37.66 q-noVbv:37.57 q-Rceq:1.08 tex:33 mv:542 misc:712 icu:0.00 pcu:210.25 scu:3389.75 sc:0 ;
in:15 out:11 type:P q:26.50 q-aq:21.41 q-noVbv:26.50 q-Rceq:1.08 tex:16878 mv:3619 misc:1803 icu:376.50 pcu:395.25 scu:2828.25 sc:0 ;
in:13 out:12 type:B q:30.83 q-aq:30.46 q-noVbv:30.83 q-Rceq:1.08 tex:301 mv:927 misc:1009 icu:0.00 pcu:252.75 scu:3347.25 sc:0 ;
in:11 out:13 type:b q:35.17 q-aq:34.64 q-noVbv:35.17 q-Rceq:1.08 tex:90 mv:676 misc:680 icu:0.00 pcu:341.25 scu:3258.75 sc:0 ;
in:12 out:14 type:b q:33.57 q-aq:33.43 q-noVbv:33.57 q-Rceq:1.08 tex:110 mv:698 misc:695 icu:0.00 pcu:428.25 scu:3171.75 sc:0 ;
in:14 out:15 type:b q:30.37 q-aq:29.75 q-noVbv:30.37 q-Rceq:1.08 tex:85 mv:508 misc:774 icu:0.00 pcu:198.00 scu:3402.00 sc:0 ;
in:20 out:16 type:P q:18.50 q-aq:11.22 q-noVbv:18.50 q-Rceq:1.08 tex:93336 mv:6672 misc:2899 icu:403.75 pcu:1291.50 scu:1904.75 sc:0 ;
in:18 out:17 type:B q:22.83 q-aq:22.37 q-noVbv:22.83 q-Rceq:1.08 tex:3342 mv:2012 misc:1633 icu:0.00 pcu:389.00 scu:3211.00 sc:0 ;
in:16 out:18 type:b q:27.17 q-aq:26.49 q-noVbv:27.17 q-Rceq:1.08 tex:446 mv:903 misc:894 icu:0.00 pcu:316.50 scu:3283.50 sc:0 ;
in:17 out:19 type:b q:25.57 q-aq:25.29 q-noVbv:25.57 q-Rceq:1.08 tex:986 mv:1219 misc:960 icu:0.00 pcu:385.25 scu:3214.75 sc:0 ;
in:19 out:20 type:b q:22.37 q-aq:21.50 q-noVbv:22.37 q-Rceq:1.08 tex:840 mv:1197 misc:1252 icu:0.00 pcu:165.50 scu:3434.50 sc:0 ;
in:25 out:21 type:P q:15.61 q-aq:8.72 q-noVbv:15.61 q-Rceq:1.08 tex:73829 mv:7588 misc:2753 icu:266.50 pcu:353.00 scu:2980.50 sc:0 ;
in:23 out:22 type:B q:17.90 q-aq:16.87 q-noVbv:17.90 q-Rceq:1.08 tex:9537 mv:3568 misc:1862 icu:0.00 pcu:544.00 scu:3056.00 sc:0 ;
in:21 out:23 type:b q:20.19 q-aq:19.44 q-noVbv:20.19 q-Rceq:1.08 tex:2329 mv:1644 misc:1235 icu:0.00 pcu:376.50 scu:3223.50 sc:0 ;
in:22 out:24 type:b q:19.61 q-aq:18.91 q-noVbv:19.61 q-Rceq:1.08 tex:4659 mv:2394 misc:1566 icu:0.00 pcu:527.25 scu:3072.75 sc:0 ;
in:24 out:25 type:b q:18.46 q-aq:17.08 q-noVbv:18.46 q-Rceq:1.08 tex:3273 mv:1262 misc:1269 icu:0.00 pcu:373.25 scu:3226.75 sc:0 ;
in:30 out:26 type:P q:13.84 q-aq:6.79 q-noVbv:13.84 q-Rceq:1.08 tex:81264 mv:8993 misc:3015 icu:275.75 pcu:417.50 scu:2906.75 sc:0 ;
in:28 out:27 type:B q:15.69 q-aq:14.84 q-noVbv:15.69 q-Rceq:1.08 tex:15849 mv:4333 misc:2014 icu:0.00 pcu:507.25 scu:3092.75 sc:0 ;
in:26 out:28 type:b q:17.53 q-aq:17.26 q-noVbv:17.53 q-Rceq:1.08 tex:4730 mv:2043 misc:1385 icu:0.00 pcu:410.25 scu:3189.75 sc:0 ;
in:27 out:29 type:b q:17.17 q-aq:16.08 q-noVbv:17.17 q-Rceq:1.08 tex:6816 mv:3371 misc:1784 icu:0.00 pcu:478.00 scu:3122.00 sc:0 ;
in:29 out:30 type:b q:16.47 q-aq:15.48 q-noVbv:16.47 q-Rceq:1.08 tex:1790 mv:1397 misc:1240 icu:0.00 pcu:156.75 scu:3443.25 sc:0 ;
in:35 out:31 type:P q:12.46 q-aq:7.04 q-noVbv:12.46 q-Rceq:1.08 tex:80937 mv:8436 misc:2739 icu:239.50 pcu:341.75 scu:3018.75 sc:0 ;
in:33 out:32 type:B q:14.15 q-aq:13.14 q-noVbv:14.15 q-Rceq:1.08 tex:22948 mv:5108 misc:2087 icu:0.00 pcu:527.00 scu:3073.00 sc:0 ;
in:31 out:33 type:b q:15.84 q-aq:15.36 q-noVbv:15.84 q-Rceq:1.08 tex:6366 mv:2730 misc:1608 icu:0.00 pcu:416.75 scu:3183.25 sc:0 ;
